routeCode,origin,destination,distanceKm
RT112,LGW,WAW,1457
RT113,MLE,CMB,777
RT114,STN,EDI,509
RT115,VIE,BGY,587
RT116,MXP,PRG,645
RT117,MXP,OTP,1364
RT118,MAN,BRU,535
RT119,ONT,DEN,1315
RT120,HEL,BER,1128
RT121,NCL,MUC,1186
RT122,OTP,DME,1467
RT123,CSX,PVG,892
RT124,HEL,TLL,100
RT125,IAD,IND,764
RT126,BGY,PMI,887
RT127,PKX,SHA,1026
RT128,BUD,SOF,619
RT129,VIE,TXL,546
RT130,KHH,MNL,899
RT131,GYD,EVN,480
RT132,HAN,KMG,522
RT133,PRG,LGW,1023
RT134,BLQ,MAD,1295
RT135,FAO,ALC,667
RT136,NTE,ALC,990
RT137,OPO,AGP,623
RT138,MSP,CVG,959
RT139,ARN,CPH,546
RT140,CMH,STL,656
RT141,MCI,YYZ,1345
RT142,ZAG,LYS,852
RT143,CTA,FRA,1490
RT144,SVO,DME,69
RT145,STL,CLT,923
RT146,LHR,ARN,1462
RT147,MRS,STR,660
RT148,SFO,TUS,1208
RT149,KOA,HNL,262
RT150,HKG,VTE,1278
RT151,NCE,CTA,955
RT152,MSY,CMH,1298
RT153,KTM,DEL,815
RT154,OPO,BHX,1352
RT155,STN,CGN,492
RT156,PRG,OSL,1139
RT157,DUS,ZAG,920
RT158,POA,GIG,1122
RT159,DAC,PBH,407
RT160,ORD,YUL,1201
RT161,MLE,BLR,1101
RT162,BFS,MAN,295
RT163,LIN,LPL,1237
RT164,RNO,BUR,602
RT165,LHR,VLC,1332
RT166,TUS,PHX,177
RT167,BGY,DUS,660
RT168,BFS,GLA,175
RT169,PRG,BRS,1200
RT170,FCO,SAW,1426
RT171,FCO,LYS,721
RT172,BLQ,LHR,1162
RT173,BRU,NAP,1345
RT174,BRS,MAD,1212
RT175,SFO,SEA,1092
RT176,ZAG,BHX,1490
RT177,TLS,LIN,658
RT178,KBP,TLL,1079
RT179,ZAG,HER,1387
RT180,VIE,CPH,876
RT181,WAW,MSQ,509
RT182,NCE,ZAG,736
RT183,GVA,VIE,816
RT184,DFW,PHX,1393
RT185,PTY,KIN,1024
RT186,OGG,LIH,323
RT187,EIN,NCE,876
RT188,LPL,TXL,1082
RT189,TPE,PVG,676
RT190,SZX,KMG,1139
RT191,AKL,CHC,745
RT192,PMI,MXP,834
RT193,BOD,FCO,1099
RT194,AGP,BCN,766
RT195,ARN,FRA,1222
RT196,LTN,TLS,925
RT197,NCL,BFS,292
RT198,LJU,SOF,810
RT199,NCL,LTN,362
RT200,RDU,YYZ,870
RT201,TNR,MRU,1083
RT202,KUL,SIN,296
RT203,CTA,BGY,1015
RT204,VTE,SZX,1281
RT205,LJU,IST,1270
RT206,CPH,PRG,622
RT207,SZG,BRU,706
RT208,LYS,BRU,577
RT209,ATL,CMH,719
RT210,GRU,GIG,336
RT211,ARN,BHX,1451
RT212,PRG,FCO,936
RT213,MAA,MLE,1220
RT214,SVO,KBP,761
RT215,OSL,HAM,732
RT216,MUC,CTA,1239
RT217,PDX,SFO,886
RT218,CDG,EDI,868
RT219,BER,VIE,520
RT220,NAP,BUD,828
RT221,HYD,CMB,1129
RT222,CPH,DUB,1241
RT223,CGN,TLS,914
RT224,HEL,TXL,1118
RT225,PDX,SEA,208
RT226,ORD,ATL,975
RT227,CAN,SZX,98
RT228,DUS,CGN,53
RT229,BRU,RTM,117
RT230,SOF,ATH,531
RT231,SZG,DUB,1491
RT232,WDH,JNB,1164
RT233,VIE,HAM,767
RT234,MRS,BSL,495
RT235,RTM,VIE,964
RT236,EIN,LYS,636
RT237,OAK,PSP,672
RT238,FCO,MAD,1329
RT239,CGO,SHA,785
RT240,AGP,CDG,1485
RT241,LED,TXL,1317
RT242,PMI,AGP,709
RT243,ZAG,BLQ,398
RT244,VLC,SZG,1421
RT245,BOS,IAD,662
RT246,TLS,BUD,1452
RT247,CGO,CKG,867
RT248,LGW,BRU,327
RT249,SGN,KUL,1050
RT250,BOI,TIJ,1227
RT251,BOD,STN,787
RT252,NAP,KRK,1107
RT253,EIN,ZRH,499
RT254,IND,JFK,1067
RT255,SAT,CUN,1498
RT256,MSY,STL,973
RT257,BFS,DUS,944
RT258,WUH,HAN,1354
RT259,FAO,AGP,310
RT260,CGN,TXL,463
RT261,POA,GRU,865
RT262,LXZ,DAC,608
RT263,VIE,MAN,1443
RT264,BUR,ONT,71
RT265,EIN,HAM,395
RT266,BWI,MCO,1268
RT267,OSL,EDI,969
RT268,IAH,DFW,362
RT269,VTE,CTU,1406
RT270,RTM,TLS,953
RT271,PRG,TLS,1213
RT272,MNL,KHH,899
RT273,LIN,HAM,911
RT274,CTU,VTE,1406
RT275,JFK,DCA,342
RT276,LHR,CGN,533
RT277,SCL,MVD,1366
RT278,EIN,KRK,1023
RT279,MUC,LHR,941
RT280,SKP,OTP,463
RT281,PBH,LXZ,256
RT282,CMH,MCO,1294
RT283,VIE,BHX,1383
RT284,KRK,HAM,779
RT285,BER,CDG,856
RT286,BLQ,VIE,567
RT287,SVO,MSQ,642
RT288,LHR,MUC,941
RT289,DUS,RTM,177
RT290,MXP,SOF,1213
RT291,HAM,NCL,772
RT292,BRU,TLS,841
RT293,TIJ,BOI,1227
RT294,RIX,MSQ,424
RT295,CTA,HER,935
RT296,SZG,GVA,550
RT297,CPH,ARN,546
RT298,LTN,BSL,740
RT299,PRG,BUD,470
RT300,TXL,HAM,250
RT301,PUJ,MIA,1466
RT302,BSL,HAM,693
RT303,BHX,ORY,505
RT304,ZAG,SAW,1196
RT305,SKG,OTP,517
RT306,CPH,BFS,1200
RT307,BCN,BOD,453
RT308,VTE,RGN,692
RT309,ATH,BUD,1123
RT310,CGN,VLC,1397
RT311,SJO,BOG,1255
RT312,BWI,CVG,689
RT313,IND,RDU,785
RT314,DUS,STR,338
RT315,TPA,MSY,784
RT316,BLQ,BCN,830
RT317,BOG,UIO,712
RT318,TXL,SOF,1330
RT319,CPH,CDG,1004
RT320,MSQ,BUD,945
RT321,NTE,ALG,1229
RT322,BRU,DUB,784
RT323,CPT,DUR,1277
RT324,VLC,LHR,1332
RT325,BER,MRS,1167
RT326,MPM,LUN,1252
RT327,SHA,PEK,1076
RT328,PSP,SAN,137
RT329,BNA,CLT,527
RT330,MUC,STN,911
RT331,JNB,MPM,433
RT332,CAN,KHH,727
RT333,MUC,SKP,1047
RT334,SKG,ATH,299
RT335,PRG,OTP,1080
RT336,TBS,BEY,1204
RT337,SOF,KBP,1024
RT338,SZG,LPL,1274
RT339,HAN,HKG,846
RT340,CAN,HGH,1038
RT341,KBP,SOF,1024
RT342,BOS,ORD,1390
RT343,SZG,SOF,991
RT344,CTA,SOF,916
RT345,CLE,MSY,1477
RT346,CKG,FOC,1346
RT347,NCE,PRG,892
RT348,MXP,BUD,829
RT349,CPH,BRU,754
RT350,FOC,CSX,685
RT351,MAN,MUC,1130
RT352,BCN,LGW,1109
RT353,ABQ,TIJ,996
RT354,HAM,WAW,753
RT355,SOF,GVA,1425
RT356,NCE,LPL,1303
RT357,ATL,CUN,1422
RT358,SZG,VCE,259
RT359,DSS,TFS,1487
RT360,LAS,ONT,316
RT361,FOC,MNL,1278
RT362,SJJ,SKG,530
RT363,YYZ,PHL,557
RT364,GLA,MAN,312
RT365,LIH,OGG,323
RT366,OTP,VNO,1120
RT367,YUL,LGA,522
RT368,DEN,LAS,1009
RT369,PRG,BUD,470
RT370,BAH,DOH,147
RT371,NCL,CDG,730
RT372,KBP,VIE,1067
RT373,BUD,HAM,948
RT374,LTN,KRK,1420
RT375,LYS,EDI,1280
RT376,PMI,MRS,478
RT377,CMH,MSY,1298
RT378,FRA,BUD,834
RT379,STR,MXP,342
RT380,KHH,CEB,1417
RT381,IND,PHL,943
RT382,CMH,CLT,558
RT383,TPA,NAS,600
RT384,LHR,PRG,1043
RT385,KRK,BSL,937
RT386,MAD,BRS,1212
RT387,BEG,VNO,1147
RT388,SMF,SLC,853
RT389,DUB,RTM,739
RT390,GYE,LIM,1138
RT391,FAO,ALG,994
RT392,LTN,GLA,517
RT393,CSX,SZX,620
RT394,WAW,SOF,1068
RT395,SLC,SMF,853
RT396,LJU,BHX,1358
RT397,NRT,HND,54
RT398,SJC,GEG,1195
RT399,PRG,EIN,642
RT400,BER,TXL,25
RT401,SKG,BLQ,1054
RT402,STR,ALC,1398
RT403,AMS,HAM,378
RT404,LGA,RDU,692
RT405,MXP,LIN,47
RT406,EDI,DUB,337
RT407,SZG,OSL,1384
RT408,BCN,AGP,766
RT409,IAD,CVG,622
RT410,IAH,SAT,306
RT411,TBS,KBP,1448
RT412,LAX,BUR,29
RT413,LAX,ELP,1147
RT414,HEL,VIE,1460
RT415,SFO,LAX,543
RT416,LHR,OPO,1298
RT417,FAO,VLC,708
RT418,MRS,MUC,746
RT419,NCE,FAO,1480
RT420,BRU,BOD,778
RT421,MAN,HAM,810
RT422,BUD,CDG,1247
RT423,TLV,BEY,210
RT424,EDI,BRU,764
RT425,CTA,PRG,1406
RT426,CTA,NAP,385
RT427,MSY,BNA,759
RT428,MSP,CLE,999
RT429,RTM,PRG,716
RT430,LIN,VLC,1037
RT431,TXL,ZAG,784
RT432,FCO,MXP,510
RT433,BWI,YYZ,557
RT434,RIX,VNO,267
RT435,SGN,PNH,213
RT436,PMI,BRS,1381
RT437,BOD,PRG,1266
RT438,WAW,BSL,1086
RT439,NCE,VLC,790
RT440,TIA,KBP,1314
RT441,ALG,MAD,725
RT442,BOG,GYE,993
RT443,PIT,TPA,1407
RT444,VIE,LGW,1249
RT445,ALC,PMI,318
RT446,BFS,BRU,830
RT447,ABQ,SJC,1397
RT448,VIE,STN,1237
RT449,NAP,AMS,1461
RT450,MUC,ALG,1472
RT451,ALG,NTE,1229
RT452,SOF,VIE,804
RT453,BUD,VIE,214
RT454,LYS,DUB,1181
RT455,CGN,SZG,544
RT456,BEY,OTP,1441
RT457,UIO,SJO,1298
RT458,HAM,LIN,911
RT459,MUC,MXP,381
RT460,IST,OTP,425
RT461,CLT,JFK,870
RT462,TPA,DFW,1492
RT463,BRS,NCE,1134
RT464,ALG,VLC,448
RT465,SHA,SZX,1208
RT466,FRA,SJJ,1012
RT467,VIE,NCE,875
RT468,CLE,CMH,180
RT469,PIT,JFK,545
RT470,OSL,MAN,1110
RT471,HKG,KMG,1160
RT472,LYS,LGW,717
RT473,OTP,VIE,828
RT474,MIA,TPA,329
RT475,SZG,STN,1020
RT476,DUS,WAW,981
RT477,WUH,TPE,936
RT478,OSL,LPL,1138
RT479,ALC,CTA,1372
RT480,LAS,SNA,364
RT481,VIE,NTE,1363
RT482,BER,NTE,1227
RT483,REP,KWL,1465
RT484,KWI,AUH,850
RT485,OPO,GVA,1308
RT486,BUD,FRA,834
RT487,DAC,LXZ,608
RT488,GVA,LYS,97
RT489,ZRH,LYS,327
RT490,NCE,BGY,297
RT491,RTM,MUC,658
RT492,BNA,IND,400
RT493,SJJ,BRU,1302
RT494,SAW,VIE,1287
RT495,ORD,MCI,646
RT496,URC,OVB,1282
RT497,MAN,LGW,283
RT498,BUD,BRU,1138
RT499,ABQ,SNA,1043
RT500,PRG,IST,1488
RT501,CMH,CVG,185
RT502,KBP,OTP,736
RT503,PHX,AUS,1400
RT504,IND,LGA,1059
RT505,SZG,PRG,272
RT506,LTN,VLC,1377
RT507,VLC,BHX,1444
RT508,ZRH,VIE,602
RT509,WAW,SVO,1150
RT510,SHA,WUH,680
RT511,DFW,STL,885
RT512,CWB,CNF,846
RT513,LHR,BRU,349
RT514,ORD,PHL,1088
RT515,CLT,ORD,964
RT516,BGY,MAN,1212
RT517,ZRH,BCN,856
RT518,IND,CMH,292
RT519,ZAG,PRG,502
RT520,MAD,FAO,543
RT521,YYZ,ORD,701
RT522,LAS,PDX,1227
RT523,DUB,EDI,337
RT524,BAH,RUH,420
RT525,STR,WAW,915
RT526,CDG,PRG,852
RT527,PSP,DEN,1246
RT528,LPL,LTN,233
RT529,ORD,JFK,1188
RT530,ZAG,IST,1135
RT531,BER,CGN,469
RT532,CPH,TLL,838
RT533,FCO,LJU,522
RT534,LGW,CDG,307
RT535,TIA,HER,825
RT536,AUS,MEX,1204
RT537,KHH,HKG,661
RT538,SKG,GVA,1499
RT539,LJU,HAM,883
RT540,BGY,LTN,1008
RT541,RUH,DOH,495
RT542,LJU,BGY,372
RT543,VLC,FCO,1102
RT544,PRG,LTN,1040
RT545,DEN,DFW,1031
RT546,VIE,FRA,621
RT547,AGP,OPO,623
RT548,POA,EZE,874
RT549,BUD,KBP,909
RT550,SJJ,SZG,604
RT551,BKK,RGN,610
RT552,SJJ,STR,883
RT553,BOS,CVG,1206
RT554,LJU,KBP,1296
RT555,KRK,AMS,1073
RT556,BER,ZAG,759
RT557,TXL,FCO,1198
RT558,ARN,WAW,853
RT559,NTE,PMI,915
RT560,VCE,TXL,787
RT561,JED,AMM,1160
RT562,BKK,VTE,515
RT563,IST,VIE,1224
RT564,NCL,RTM,530
RT565,CAN,REP,1493
RT566,BOM,LHE,1390
RT567,STR,LPL,987
RT568,PRG,LPL,1228
RT569,STL,MSP,722
RT570,YUL,IAD,786
RT571,ICN,TPE,1462
RT572,LTN,BUD,1490
RT573,GVA,MXP,213
RT574,AGP,BOD,960
RT575,VIE,CTA,1189
RT576,SSA,CNF,958
RT577,PMI,DUS,1341
RT578,NCE,SZG,642
RT579,BEY,CAI,563
RT580,STN,VCE,1135
RT581,LIM,GYE,1138
RT582,PRG,EDI,1340
RT583,LGA,BNA,1227
RT584,SYD,MEL,705
RT585,EIN,BRS,561
RT586,LTN,HAM,723
RT587,OPO,LPL,1413
RT588,BCN,BSL,822
RT589,DEN,RNO,1290
RT590,SNA,RNO,669
RT591,KRK,MRS,1329
RT592,LPL,VIE,1479
RT593,LJU,MAN,1433
RT594,EDI,BGY,1460
RT595,BFS,NTE,894
RT596,BGY,LHR,985
RT597,HER,TIA,825
RT598,GYE,UIO,282
RT599,WUH,CGO,416
RT600,LGW,CGN,513
RT601,LHR,PRG,1043
RT602,BUD,ATH,1123
RT603,LAX,SMF,600
RT604,CMH,BOS,1027
RT605,SOF,ATH,531
RT606,FRA,MUC,299
RT607,STL,CMH,656
RT608,BER,BHX,1032
RT609,ZAG,BGY,494
RT610,AMS,BLQ,988
RT611,HAM,BRU,481
RT612,CGN,RTM,223
RT613,PMI,BSL,973
RT614,CLE,MCI,1113
RT615,KIN,SDQ,753
RT616,TIA,ZRH,1110
RT617,WAW,SVO,1150
RT618,BUD,MXP,829
RT619,FCO,CDG,1100
RT620,BEG,PRG,742
RT621,SKG,KRK,1091
RT622,FRA,ORY,471
RT623,ZRH,SOF,1278
RT624,BOS,YUL,408
RT625,JFK,STL,1432
RT626,ABQ,BUR,1078
RT627,BOD,CGN,890
RT628,ATH,FCO,1086
RT629,DUS,KRK,925
RT630,MUC,ZAG,435
RT631,MSQ,BUD,945
RT632,SZG,NAP,774
RT633,LHR,MXP,935
RT634,KRK,ZAG,555
RT635,SKG,VCE,1024
RT636,DXB,IKA,1199
RT637,SZX,KHH,671
RT638,STR,MRS,660
RT639,TLS,MAN,1113
RT640,MXP,BUD,829
RT641,TLS,DUB,1223
RT642,PIT,DCA,328
RT643,CDG,BOD,526
RT644,HKG,PVG,1255
RT645,ALG,LJU,1411
RT646,TXL,KBP,1241
RT647,STR,EDI,1172
RT648,SHA,KWL,1290
RT649,BHX,MAN,106
RT650,TPE,SZX,802
RT651,LJU,LYS,726
RT652,EIN,NAP,1358
RT653,HEL,WAW,939
RT654,BGY,NAP,648
RT655,LED,RIX,486
RT656,PRG,BER,257
RT657,MSQ,BEG,1151
RT658,PEK,PKX,65
RT659,BLQ,BRU,871
RT660,PSP,RNO,694
RT661,MRS,ZAG,896
RT662,FRA,VCE,577
RT663,PIT,LGA,537
RT664,CDG,MUC,681
RT665,BHX,CGN,637
RT666,TLS,OPO,865
RT667,DEN,IAH,1387
RT668,BUD,WAW,539
RT669,TLS,CMN,1379
RT670,CPH,SZG,870
RT671,BUD,STN,1450
RT672,DEN,SMF,1459
RT673,MSQ,RIX,424
RT674,GRU,ASU,1136
RT675,BCN,EIN,1156
RT676,CAI,IST,1262
RT677,KBP,SKP,1172
RT678,BOI,BUR,1057
RT679,ZAG,AMS,1098
RT680,SZG,SJJ,604
RT681,DME,OTP,1467
RT682,BFS,GVA,1276
RT683,ZAG,NTE,1360
RT684,BGY,OTP,1288
RT685,FCO,STN,1442
RT686,STR,OTP,1363
RT687,SDQ,PUJ,138
RT688,FCO,MUC,729
RT689,SFO,SMF,137
RT690,STR,SOF,1284
RT691,LED,ARN,691
RT692,BER,DUS,477
RT693,ALC,LIS,747
RT694,ATH,OTP,758
RT695,LTN,ZRH,807
RT696,HAM,HEL,1168
RT697,SZG,LJU,206
RT698,JED,DOH,1331
RT699,KHH,KWL,1088
RT700,GIG,CNF,361
RT701,PRG,WAW,521
RT702,ZAG,ALG,1469
RT703,BFS,AMS,771
RT704,DEL,ISB,678
RT705,DUB,STN,470
RT706,CEB,BWN,1161
RT707,SKG,SZG,1132
RT708,BCN,ZAG,1229
RT709,EIN,VCE,836
RT710,MXP,BRU,664
RT711,LIN,LTN,1004
RT712,CTA,VIE,1189
RT713,LAX,SAN,175
RT714,BLQ,CGN,768
RT715,IND,TPA,1350
RT716,PVG,SZX,1233
RT717,MRU,RUN,231
RT718,ORY,FCO,1089
RT719,BLQ,EIN,885
RT720,ATH,NAP,891
RT721,KTM,LXZ,571
RT722,GDL,AUS,1215
RT723,BNA,CVG,370
RT724,MRS,FCO,602
RT725,BGY,DUB,1433
RT726,LHR,WAW,1469
RT727,YUL,YYZ,506
RT728,VIE,PRG,277
RT729,MAN,LJU,1433
RT730,FCO,EIN,1192
RT731,MIA,RDU,1130
RT732,PMI,STR,1139
RT733,CMN,ALG,1050
RT734,SGN,HAN,1159
RT735,FOC,KWL,968
RT736,OTP,MUC,1171
RT737,CKG,PVG,1461
RT738,ZAG,PRG,502
RT739,PRG,MUC,264
RT740,CAI,ATH,1107
RT741,HER,SOF,832
RT742,STR,RTM,497
RT743,DUB,ZRH,1238
RT744,SOF,LJU,810
RT745,SFO,LAS,665
RT746,CMH,DFW,1488
RT747,SJJ,ZAG,278
RT748,NAP,LIN,649
RT749,BSL,PRG,565
RT750,MCO,BWI,1268
RT751,VIE,FCO,779
RT752,PSP,OAK,672
RT753,BHX,EIN,500
RT754,VIE,MRS,1021
RT755,MAN,FRA,831
RT756,LTN,ARN,1426
RT757,PSP,SNA,126
RT758,BUR,OAK,523
RT759,BER,MXP,825
RT760,KBP,KRK,790
RT761,NTE,STN,542
RT762,CGO,KHH,1468
RT763,MAN,STR,955
RT764,EIN,BOD,863
RT765,BHX,STN,149
RT766,LHR,KRK,1426
RT767,BHX,LGW,180
RT768,LJU,PRG,431
RT769,KRK,SKG,1091
RT770,MAN,PRG,1191
RT771,DFW,SAT,398
RT772,TPE,SZX,802
RT773,SJJ,ATH,806
RT774,AMS,NTE,733
RT775,NTE,CGN,759
RT776,WAW,DUS,981
RT777,GLA,FRA,1082
RT778,SOF,SKG,244
RT779,NCL,VIE,1471
RT780,BOD,MUC,1031
RT781,MAN,STN,235
RT782,ALG,TLS,787
RT783,SOF,WAW,1068
RT784,HAM,NAP,1453
RT785,DFW,ATL,1174
RT786,AMS,RIX,1332
RT787,BNA,IAH,1056
RT788,CDG,BGY,654
RT789,MAD,BCN,483
RT790,BUD,CDG,1247
RT791,BEG,HAM,1231
RT792,LJU,ATH,1207
RT793,TUS,MTY,1266
RT794,BEG,VIE,464
RT795,EDI,EIN,761
RT796,BGY,ZAG,494
RT797,DUS,EIN,98
RT798,PRG,TXL,281
RT799,CVG,IAH,1402
RT800,ISB,KTM,1347
RT801,LGW,LPL,302
RT802,KWI,EVN,1257
RT803,DUB,BRU,784
RT804,TXL,MAN,1044
RT805,ONT,BOI,1063
RT806,GLA,BFS,175
RT807,CGO,KMG,1487
RT808,BOD,MRS,497
RT809,DMK,KUL,1247
RT810,KRK,SKP,913
RT811,WAW,VIE,548
RT812,FRA,STR,157
RT813,FRA,NTE,813
RT814,TXL,MUC,479
RT815,IND,AUS,1479
RT816,BSL,RTM,533
RT817,AMS,GVA,682
RT818,SKP,MRS,1348
RT819,BWI,STL,1183
RT820,BER,VIE,520
RT821,SKG,BGY,1217
RT822,NCL,BGY,1314
RT823,KHH,TPE,292
RT824,SOF,KRK,866
RT825,LYS,VLC,829
RT826,VLC,STN,1379
RT827,LHR,NTE,487
RT828,BHX,SZG,1169
RT829,BLQ,BEG,713
RT830,ZAG,LTN,1378
RT831,SZG,BHX,1169
RT832,OSL,CDG,1357
RT833,LIS,LYS,1399
RT834,NAP,BGY,648
RT835,IAH,AUS,225
RT836,VCE,OTP,1082
RT837,SZG,WAW,747
RT838,PVG,HKG,1255
RT839,SZX,MNL,1180
RT840,HER,CTA,935
RT841,ZAG,ORY,1084
RT842,XIY,FOC,1410
RT843,ZAG,BGY,494
RT844,ORY,SZG,793
RT845,EIN,GLA,810
RT846,HKG,CAN,136
RT847,BSL,BEG,1029
RT848,MAN,GVA,992
RT849,BOM,HYD,622
RT850,ORY,DUB,796
RT851,MUC,SKG,1241
RT852,SJO,GYE,1433
RT853,IST,BUD,1018
RT854,AMS,STR,510
RT855,OAK,SEA,1081
RT856,KMG,PBH,1370
RT857,LPL,BRU,568
RT858,BGY,STR,337
RT859,KMG,CTU,617
RT860,VIE,RTM,964
RT861,TBS,AMM,1362
RT862,SZG,BUD,470
RT863,KBP,OTP,736
RT864,BEY,SOF,1441
RT865,HAM,EDI,892
RT866,WAW,STR,915
RT867,CLE,CLT,693
RT868,CPH,LGW,983
RT869,BUD,IST,1018
RT870,ORD,STL,414
RT871,ASU,BSB,1442
RT872,TLS,CDG,605
RT873,TIA,SAW,804
RT874,KIN,SJO,1191
RT875,MRS,PRG,1010
RT876,BUD,VNO,903
RT877,SMF,SJC,151
RT878,MRS,ALG,768
RT879,ORY,BRU,285
RT880,STN,RTM,288
RT881,BCN,BLQ,830
RT882,VIE,ZRH,602
RT883,CLT,YYZ,947
RT884,ATH,LJU,1207
RT885,MAD,BOD,534
RT886,OSL,BFS,1200
RT887,SKG,ATH,299
RT888,FCO,ATH,1086
RT889,LHR,VIE,1274
RT890,KTM,DAC,661
RT891,SAT,TUS,1224
RT892,LJU,BCN,1132
RT893,OAK,GEG,1164
RT894,PMI,ZAG,1286
RT895,MAD,LTN,1288
RT896,FAO,CMN,406
RT897,NCE,BLQ,339
RT898,SOF,ZAG,675
RT899,WUH,KMG,1274
RT900,HAM,LGW,742
RT901,CKG,CSX,661
RT902,BOD,BSL,704
RT903,PMI,BLQ,896
RT904,EDI,STR,1172
RT905,CPH,HEL,892
RT906,NCL,GLA,196
RT907,ELP,ABQ,360
RT908,VIE,LPL,1479
RT909,SAW,ZAG,1196
RT910,RTM,ARN,1196
RT911,NTE,MXP,810
RT912,ZRH,BRS,923
RT913,SMF,TUS,1209
RT914,SKP,ZAG,612
RT915,IAD,BOS,662
RT916,BUD,LJU,389
RT917,AUH,IKA,1266
RT918,OAK,BUR,523
RT919,EZE,POA,874
RT920,AUS,MTY,546
RT921,PVG,CSX,892
RT922,TPA,IAD,1307
RT923,TLV,AMM,110
RT924,LAX,LAS,380
RT925,ZRH,BLQ,387
RT926,IAH,ORD,1490
RT927,OTP,RIX,1381
RT928,CGN,NTE,759
RT929,LYS,RTM,694
RT930,MAD,BLQ,1295
RT931,CSX,HGH,736
RT932,WAW,KRK,246
RT933,SAW,OTP,485
RT934,BEG,FRA,1055
RT935,GVA,NTE,597
RT936,VNO,EIN,1372
RT937,PRG,CGN,510
RT938,TUS,DEN,1028
RT939,DAC,HYD,1445
RT940,ZAG,KBP,1212
RT941,PMI,FCO,838
RT942,DAC,KMG,1275
RT943,KRK,DUS,925
RT944,SAW,WAW,1403
RT945,CLT,EWR,849
RT946,LIS,CDG,1470
RT947,LPL,ARN,1446
RT948,TLS,NCL,1287
RT949,IST,LJU,1270
RT950,HAM,ZAG,979
RT951,PIT,STL,888
RT952,LJU,OTP,925
RT953,BEG,KBP,1002
RT954,STR,TLS,825
RT955,ZAG,MRS,896
RT956,LXZ,RGN,1477
RT957,LYS,BLQ,504
RT958,NAP,TXL,1300
RT959,SGN,SIN,1091
RT960,NCE,SKG,1343
RT961,SSA,REC,649
RT962,BFS,CDG,868
RT963,LGA,CLE,671
RT964,MXP,LGW,898
RT965,RDU,YUL,1147
RT966,YUL,CVG,1146
RT967,HER,AMM,1079
RT968,ABQ,MTY,1203
